championId,assists,bans,champion,deaths,games,gamesPlayed,kills,teamKills,wins,wr,winrate,KDA,KP
119,17,1,Draven,11,5,4,16,51,2,0.5,50.00%,3.00,64.71%
120,0,1,Hecarim,0,1,0,0,0,0,0,0.00%,0.00,0
121,0,0,Kha'Zix,0,0,0,0,0,0,0,0.00%,0.00,0
122,5,4,Darius,1,5,1,1,11,1,1.0,100.00%,6.00,54.55%
126,0,2,Jayce,0,2,0,0,0,0,0,0.00%,0.00,0
127,42,8,Lissandra,14,12,4,9,77,3,0.75,75.00%,3.64,66.23%
131,0,0,Diana,0,0,0,0,0,0,0,0.00%,0.00,0
133,0,0,Quinn,0,0,0,0,0,0,0,0.00%,0.00,0
134,79,9,Syndra,32,24,15,51,183,7,0.4666666666666667,46.67%,4.06,71.04%
136,0,0,Aurelion Sol,0,0,0,0,0,0,0,0.00%,0.00,0
141,0,0,Kayn,0,0,0,0,0,0,0,0.00%,0.00,0
142,12,5,Zoe,12,8,3,3,19,0,0.0,0.00%,1.25,78.95%
143,0,0,Zyra,0,0,0,0,0,0,0,0.00%,0.00,0
145,125,7,Kai'Sa,47,40,33,164,433,21,0.6363636363636364,63.64%,6.15,66.74%
150,0,1,Gnar,2,2,1,0,2,0,0.0,0.00%,0.00,0.00%
154,11,0,Zac,1,1,1,3,18,1,1.0,100.00%,14.00,77.78%
157,12,3,Yasuo,1,4,1,1,16,1,1.0,100.00%,13.00,81.25%
161,13,5,Vel'Koz,5,8,3,7,34,2,0.6666666666666666,66.67%,4.00,58.82%
163,75,5,Taliyah,19,16,11,37,151,8,0.7272727272727273,72.73%,5.89,74.17%
164,34,17,Camille,24,26,9,19,88,4,0.4444444444444444,44.44%,2.21,60.23%
201,53,6,Braum,22,16,10,1,80,4,0.4,40.00%,2.45,67.50%
202,21,1,Jhin,2,4,3,16,50,3,1.0,100.00%,18.50,74.00%
203,42,10,Kindred,19,18,8,21,80,5,0.625,62.50%,3.32,78.75%
222,0,0,Jinx,0,0,0,0,0,0,0,0.00%,0.00,0
223,103,23,Tahm Kench,35,38,15,14,183,6,0.4,40.00%,3.34,63.93%
236,43,4,Lucian,27,15,11,18,94,2,0.18181818181818182,18.18%,2.26,64.89%
238,0,1,Zed,0,1,0,0,0,0,0,0.00%,0.00,0
240,0,0,Kled,0,0,0,0,0,0,0,0.00%,0.00,0
245,7,0,Ekko,4,1,1,6,15,1,1.0,100.00%,3.25,86.67%
254,0,0,Vi,0,0,0,0,0,0,0,0.00%,0.00,0
266,44,36,Aatrox,33,50,14,31,144,5,0.35714285714285715,35.71%,2.27,52.08%
267,0,0,Nami,0,0,0,0,0,0,0,0.00%,0.00,0
268,9,2,Azir,0,4,2,8,25,2,1.0,100.00%,17.00,68.00%
412,73,5,Thresh,28,14,9,6,111,5,0.5555555555555556,55.56%,2.82,71.17%
420,0,0,Illaoi,0,0,0,0,0,0,0,0.00%,0.00,0
421,0,0,Rek'Sai,0,0,0,0,0,0,0,0.00%,0.00,0
427,0,0,Ivern,0,0,0,0,0,0,0,0.00%,0.00,0
429,8,0,Kalista,2,1,1,5,19,1,1.0,100.00%,6.50,68.42%
432,0,0,Bard,0,0,0,0,0,0,0,0.00%,0.00,0
497,147,20,Rakan,43,38,18,15,202,8,0.4444444444444444,44.44%,3.77,80.20%
498,77,7,Xayah,27,22,15,65,193,9,0.6,60.00%,5.26,73.58%
516,92,12,Ornn,27,27,15,20,186,8,0.5333333333333333,53.33%,4.15,60.22%
555,5,3,Pyke,10,5,2,3,15,0,0.0,0.00%,0.80,53.33%
